MilestoneID,ProjectID,MilestoneName,PlannedDate,ActualDate,Status
MS00052,PJ0014,Construction Start,2025-06-13,2025-06-05,Complete
MS00053,PJ0014,T-12 Timetable Lock,2025-06-23,2025-07-14,Slipped
MS00054,PJ0014,Handback,2025-08-29,,Not Started
MS00055,PJ0015,Design Freeze,2024-09-15,2024-09-15,Complete
MS00056,PJ0015,Construction Start,2025-08-09,,Not Started
MS00057,PJ0015,T-12 Timetable Lock,2024-10-01,2024-10-27,Slipped
MS00058,PJ0015,GRIP 4 Approval,2025-08-07,2025-09-11,Slipped
MS00059,PJ0015,Handback,2025-06-05,,Not Started
MS00060,PJ0016,GRIP 7 Handover,2025-07-23,2025-07-26,Complete
MS00061,PJ0016,T-12 Timetable Lock,2025-08-06,2025-09-19,Slipped
MS00062,PJ0016,GRIP 5 Approval,2025-08-05,2025-08-17,Complete
MS00063,PJ0016,T-1 Access Confirmed,2025-08-21,2025-09-22,Slipped
MS00064,PJ0016,Defects Liability End,2025-05-15,,At Risk
MS00065,PJ0016,50% Physical Complete,2025-03-21,,Complete
MS00066,PJ0017,Handback,2026-02-03,2026-02-01,Complete
MS00067,PJ0017,GRIP 5 Approval,2025-10-09,2025-11-25,Slipped
MS00068,PJ0017,GRIP 4 Approval,2025-07-13,2025-08-17,Slipped
MS00069,PJ0018,Handback,2025-06-24,,At Risk
MS00070,PJ0018,Site Set-Up,2025-06-23,2025-08-09,Slipped
MS00071,PJ0018,GRIP 4 Approval,2024-12-11,2024-12-06,Complete
MS00072,PJ0018,Construction Start,2025-03-22,2025-04-13,Complete
MS00073,PJ0018,50% Physical Complete,2025-05-05,2025-05-02,Complete
MS00074,PJ0019,GRIP 7 Handover,2025-06-29,,At Risk
MS00075,PJ0019,First Possession,2025-07-06,2025-08-19,Slipped
MS00076,PJ0019,50% Physical Complete,2025-08-25,,At Risk
MS00077,PJ0019,GRIP 4 Approval,2025-07-13,,At Risk
MS00078,PJ0019,T-1 Access Confirmed,2025-05-24,2025-06-05,Complete
MS00079,PJ0019,Site Set-Up,2025-06-23,,At Risk
MS00080,PJ0020,Construction Start,2025-04-15,2025-05-09,Complete
MS00081,PJ0020,GRIP 5 Approval,2025-06-17,,Not Started
MS00082,PJ0020,Site Set-Up,2025-08-16,,At Risk
MS00083,PJ0020,Defects Liability End,2025-03-26,2025-04-06,Complete
MS00084,PJ0020,Handback,2025-06-01,2025-06-16,Slipped
MS00085,PJ0021,T-12 Timetable Lock,2025-06-10,2025-06-16,Complete
MS00086,PJ0021,Handback,2025-05-31,2025-05-22,Complete
MS00087,PJ0021,Site Set-Up,2025-06-17,,Not Started
MS00088,PJ0021,Defects Liability End,2026-01-20,,At Risk
MS00089,PJ0021,Design Freeze,2025-08-29,,Not Started
MS00090,PJ0021,50% Physical Complete,2025-06-28,2025-06-21,Complete
MS00091,PJ0022,GRIP 5 Approval,2025-07-10,,Complete
MS00092,PJ0022,Construction Start,2025-08-02,2025-08-27,Complete
MS00093,PJ0022,Defects Liability End,2025-02-07,2025-03-03,Complete
MS00094,PJ0023,T-1 Access Confirmed,2025-07-30,2025-08-05,Complete
MS00095,PJ0023,Construction Start,2025-11-02,,At Risk
MS00096,PJ0023,50% Physical Complete,2025-06-26,2025-07-12,Slipped
MS00097,PJ0023,Defects Liability End,21/05/2025,2025-07-19,Slipped
MS00098,PJ0023,Design Freeze,2025-04-06,,At Risk
MS00099,PJ0024,T-1 Access Confirmed,2026-02-09,,Not Started
MS00100,PJ0024,Construction Start,2025-06-24,,Not Started
MS00101,PJ0024,First Possession,2026-01-10,,At Risk
MS00102,PJ0024,50% Physical Complete,2024-07-26,,Not Started
MS00103,PJ0024,Design Freeze,2025-08-01,2025-08-10,Complete
MS00104,PJ0024,Defects Liability End,2024-07-06,2024-07-15,Complete
MS00105,PJ0025,Construction Start,2024-08-25,2024-09-01,Complete
MS00106,PJ0025,T-12 Timetable Lock,2024-10-21,2024-10-20,Complete
MS00107,PJ0025,T-1 Access Confirmed,2024-07-07,2024-06-28,Complete
MS00108,PJ0025,GRIP 7 Handover,2024-10-23,2024-10-22,Complete
MS00109,PJ0025,Site Set-Up,2024-11-22,,Complete
MS00110,PJ0025,Defects Liability End,2025-08-13,,Not Started
MS00111,PJ0026,50% Physical Complete,2024-08-29,2024-09-01,Complete
MS00112,PJ0026,T-12 Timetable Lock,2025-06-25,2025-06-17,Complete
MS00113,PJ0026,First Possession,2025-08-03,,At Risk
MS00114,PJ0026,Site Set-Up,2025-05-03,2025-06-27,Slipped
MS00115,PJ0026,Defects Liability End,2024-11-01,,At Risk
MS00116,PJ0027,Defects Liability End,2025-07-04,,At Risk
MS00117,PJ0027,T-1 Access Confirmed,2025-09-07,2025-09-25,Complete
MS00118,PJ0027,50% Physical Complete,2025-07-02,2025-07-14,Complete
MS00119,PJ0027,Design Freeze,2025-08-11,2025-08-15,Complete
MS00120,PJ0027,T-12 Timetable Lock,2025-07-30,2025-07-24,Complete
MS00121,PJ0028,Design Freeze,2025-07-14,,Not Started
MS00122,PJ0028,T-1 Access Confirmed,2025-06-01,2025-06-17,Slipped
MS00123,PJ0028,Handback,2025-06-22,,Not Started
MS00124,PJ0028,GRIP 7 Handover,2024-07-06,,Complete
MS00125,PJ0028,Site Set-Up,2025-06-04,2025-06-04,Complete
MS00126,PJ0028,GRIP 4 Approval,2025-01-03,2025-01-06,Complete
MS00127,PJ0029,First Possession,2025-06-18,,Not Started
MS00128,PJ0029,Defects Liability End,2024-11-11,,At Risk
MS00129,PJ0029,GRIP 4 Approval,2025-07-03,,At Risk
MS00130,PJ0029,Construction Start,2025-07-30,2025-08-01,Complete
MS00131,PJ0030,50% Physical Complete,2025-06-26,,Not Started
MS00132,PJ0030,Defects Liability End,2025-07-30,,At Risk
MS00133,PJ0030,GRIP 4 Approval,2024-08-31,,Not Started
MS00134,PJ0031,First Possession,2025-04-16,2025-05-16,Complete
MS00135,PJ0031,Site Set-Up,2025-07-31,2025-09-12,Slipped
MS00136,PJ0031,Design Freeze,2025-07-15,2025-08-07,Slipped
MS00137,PJ0031,Defects Liability End,2025-07-28,2025-08-17,Slipped
MS00138,PJ0031,GRIP 4 Approval,2025-07-25,,Not Started
MS00139,PJ0032,Construction Start,2025-01-23,2025-02-21,Complete
MS00140,PJ0032,Handback,2025-07-29,2025-08-07,Complete
MS00141,PJ0032,Site Set-Up,2025-03-16,2025-04-15,Slipped
MS00142,PJ0032,First Possession,2025-07-08,,Not Started
MS00143,PJ0032,50% Physical Complete,2025-07-03,2025-06-30,Complete
MS00144,PJ0033,Design Freeze,2026-08-07,2026-09-01,Complete
MS00145,PJ0033,T-1 Access Confirmed,2025-09-10,2025-09-29,Slipped
MS00146,PJ0033,Defects Liability End,2025-07-08,,Not Started
MS00147,PJ0034,Handback,2025-07-13,2025-08-11,Complete
MS00148,PJ0034,T-12 Timetable Lock,2025-11-22,2025-12-07,Complete
MS00149,PJ0034,Construction Start,2025-06-01,,Not Started
MS00150,PJ0034,Defects Liability End,2025-06-20,2025-07-02,Complete
MS00151,PJ0035,Design Freeze,2025-10-22,2025-12-01,Slipped
MS00152,PJ0035,Construction Start,2025-06-05,,At Risk
MS00153,PJ0035,50% Physical Complete,2025-10-10,,Not Started
MS00154,PJ0036,T-12 Timetable Lock,2025-06-12,,At Risk
MS00155,PJ0036,T-1 Access Confirmed,2025-06-12,,Not Started
MS00156,PJ0036,Construction Start,2025-08-30,2025-09-23,Complete
MS00157,PJ0037,Defects Liability End,2025-09-03,2025-09-04,Complete
MS00158,PJ0037,GRIP 4 Approval,2025-06-11,2025-06-24,Complete
MS00159,PJ0037,T-12 Timetable Lock,2025-07-09,,At Risk
MS00160,PJ0038,GRIP 5 Approval,2025-08-28,,At Risk
MS00161,PJ0038,T-1 Access Confirmed,2025-07-24,,At Risk
MS00162,PJ0038,50% Physical Complete,2025-08-28,,At Risk
MS00163,PJ0038,GRIP 4 Approval,2025-08-13,,Not Started
MS00164,PJ0038,Handback,2025-06-05,,At Risk
MS00165,PJ0039,Construction Start,2025-07-17,2025-08-13,Complete
MS00166,PJ0039,Design Freeze,2025-08-31,2025-09-11,Complete
MS00167,PJ0039,T-1 Access Confirmed,2025-10-08,,Not Started
MS00168,PJ0039,GRIP 7 Handover,2025-08-11,2025-10-07,Slipped
MS00169,PJ0039,First Possession,2025-06-14,,At Risk
MS00170,PJ0040,Defects Liability End,2025-06-14,2025-06-04,Complete
MS00171,PJ0040,First Possession,2025-08-10,2025-08-06,Complete
MS00172,PJ0040,Handback,2025-06-11,2025-06-12,Complete
MS00173,PJ0040,T-12 Timetable Lock,2026-02-01,2026-02-25,Complete
MS00174,PJ0040,GRIP 4 Approval,2025-08-19,2025-09-25,Slipped
MS00175,PJ0041,50% Physical Complete,2025-09-07,2025-09-18,Complete
MS00176,PJ0041,GRIP 7 Handover,2025-06-21,2025-08-01,Slipped
MS00177,PJ0041,Design Freeze,2025-07-28,2025-07-19,Complete
MS00178,PJ0041,T-12 Timetable Lock,2025-08-17,2025-08-18,Complete
MS00179,PJ0041,Site Set-Up,2025-06-18,,At Risk
MS00180,PJ0042,T-1 Access Confirmed,2025-06-23,2025-08-02,Slipped
MS00181,PJ0042,Construction Start,2024-10-16,2024-11-08,Slipped
MS00182,PJ0042,T-12 Timetable Lock,2025-02-12,2025-04-12,Slipped
MS00183,PJ0042,GRIP 5 Approval,2025-03-15,,At Risk
MS00184,PJ0043,Design Freeze,2025-06-20,,Not Started
MS00185,PJ0043,Construction Start,2025-02-24,2025-04-17,Slipped
MS00186,PJ0043,Defects Liability End,2025-06-05,,At Risk
MS00187,PJ0043,GRIP 5 Approval,2026-03-08,2026-04-18,Slipped
MS00188,PJ0043,T-12 Timetable Lock,2025-08-03,,At Risk
MS00189,PJ0044,GRIP 5 Approval,2025-06-25,2025-07-01,Complete
MS00190,PJ0044,GRIP 4 Approval,2025-04-14,,Not Started
MS00191,PJ0044,Handback,2025-08-25,,Complete
MS00192,PJ0044,T-1 Access Confirmed,2025-07-17,,Not Started
MS00193,PJ0044,Site Set-Up,2025-08-14,2025-08-12,Complete
MS00194,PJ0045,T-12 Timetable Lock,2025-04-03,2025-04-14,Complete
MS00195,PJ0045,T-1 Access Confirmed,2025-06-02,2025-07-10,Slipped
MS00196,PJ0045,First Possession,2025-04-01,,At Risk
MS00197,PJ0046,GRIP 5 Approval,2025-06-04,,At Risk
MS00198,PJ0046,First Possession,2025-06-16,,Not Started
MS00199,PJ0046,Construction Start,2026-04-16,2026-06-12,Slipped
MS00200,PJ0046,T-12 Timetable Lock,2025-07-05,,At Risk
MS00201,PJ0047,Defects Liability End,2025-07-02,2025-08-25,Slipped
MS00202,PJ0047,GRIP 7 Handover,2025-11-02,2025-12-02,Complete
MS00203,PJ0047,T-1 Access Confirmed,2025-08-01,2025-08-20,Slipped
MS00204,PJ0047,First Possession,04/01/2025,,Not Started
MS00205,PJ0047,GRIP 4 Approval,2025-06-04,,Not Started
MS00206,PJ0048,Design Freeze,2025-06-09,2025-07-14,Slipped
MS00207,PJ0048,GRIP 4 Approval,2025-08-30,,At Risk
MS00208,PJ0048,T-1 Access Confirmed,2025-08-14,2025-09-04,Slipped
MS00209,PJ0049,Design Freeze,2025-08-13,2025-09-24,Slipped
MS00210,PJ0049,50% Physical Complete,2025-07-10,,Not Started
MS00211,PJ0049,T-12 Timetable Lock,2025-06-23,2025-08-01,Slipped
MS00212,PJ0050,Handback,2025-07-11,2025-07-27,Complete
MS00213,PJ0050,Construction Start,2025-01-05,,Not Started
MS00214,PJ0050,GRIP 4 Approval,2025-06-15,2025-07-15,Complete
MS00215,PJ0051,Design Freeze,2025-06-18,2025-07-14,Slipped
MS00216,PJ0051,GRIP 7 Handover,2025-09-06,2025-09-23,Complete
MS00217,PJ0051,Defects Liability End,2025-09-29,2025-09-29,Complete
MS00218,PJ0051,GRIP 5 Approval,2025-07-11,2025-08-22,Slipped
MS00219,PJ0051,T-1 Access Confirmed,2025-09-07,,At Risk
MS00220,PJ0052,Construction Start,2025-07-07,2025-06-28,Complete
MS00221,PJ0052,Defects Liability End,2024-12-16,,At Risk
MS00222,PJ0052,50% Physical Complete,2025-06-25,2025-07-11,Slipped
MS00223,PJ0052,T-1 Access Confirmed,2025-09-06,2025-10-04,Complete
MS00224,PJ0052,Site Set-Up,2025-06-16,2025-07-15,Complete
